Finnish	finn1318	fin 	Uralic Finnic	61.00	24.45
North Karelian	kare1335	krl 	Uralic Finnic	65.17	30.87
Olonets Karelian	livv1243	olo 	Uralic Finnic	61.00	33.00
Veps	veps1250	vep	Uralic	Finnic	60.34	34.79
Estonian	esto1258	ekk	Uralic	Finnic	59.25	24.75
Livonian	livv1244	liv	Uralic	Finnic	57.57	22.03
Southern Saami	sout2674	sma	Uralic	Saami	64.25	12.60
Lule Saami	lule1254	smj	Uralic	Saami	67.28	17.81
Northern Saami	nort2671	sme	Uralic	Saami	68.72	22.11
Inari Saami	inar1241	smn	Uralic	Saami	69.42	27.87
Skolt Saami	skol1241	sms	Uralic	Saami	68.83	29.72
Kildin Saami	kild1236	sjd	Uralic	Saami	68.22	35.83
Hill Mari	west2392	mrj	Uralic	Mari	56.33	46.33
Meadow Mari	east2328	mhr	Uralic	Mari	57.00	49.50
Moksha	moks1248	mdf	Uralic	Mordvin	54.19	42.67
Erzya	erzy1239	myv	Uralic	Mordvin	53.00	45.50
Udmurt	udmu1245	udm	Uralic	Permian	56.13	52.64
Komi-Permyak	komi1269	koi	Uralic	Permian	59.66	54.80
Komi-Zyrian	komi1268	kpv	Uralic	Permian	64.05	54.95
Hungarian	hung1274	hun	Uralic	Hungarian	46.91	19.66
Northern Khanty	khan1273	kca	Uralic	Khantyic	62.43	66.12
Northern Mansi	mans1258	mns	Uralic	Mansic	64.41	61.34
Northern Selkup	selk1253	sel	Uralic	Samoyedic	59.94	82.30
Tundra Nenets	nene1249	yrk	Uralic	Samoyedic	66.18	71.02
Forest Enets	fore1265	enf	Uralic	Samoyedic	69.98	88.21
Nganasan	ngan1291	nio	Uralic	Samoyedic	73.14	86.21
Bengali	beng1280	ben	Indo-European	Indo-Iranian	24.00	90.00
Hindi	hind1269	hin	Indo-European	Indo-Iranian	27.20	78.00
Northern Pashto	nort2646	pbu	Indo-European	Indo-Iranian	32.10	67.20
Western Farsi	west2369	pes	Indo-European	Indo-Iranian	28.66	55.16
Northern Kurdish	nort2641	kmr	Indo-European	Indo-Iranian	37.00	43.00
Ossetian	osse1243	oss	Indo-European	Indo-Iranian	43.18	44.23
Armenian	nucl1235	hye	Indo-European	Armenic	40.00	45.00
Modern Greek	mode1248	ell	Indo-European	Graeco-Phrygian	38.00	23.75
Standard Albanian	alba1267	sqi	Indo-European	Albanian	41.33	19.85
Bulgarian	bulg1262	bul	Indo-European	Balto-Slavic	42.70	23.80
Croatian	croa1245	hrv	Indo-European	Balto-Slavic	45.20	16.83
Slovenian	slov1268	slv	Indo-European	Balto-Slavic	46.25	14.78
Slovak	slov1269	slk	Indo-European	Balto-Slavic	48.55	18.78
Czech	czec1258	ces	Indo-European	Balto-Slavic	49.87	15.10
Polish	poli1260	pol	Indo-European	Balto-Slavic	51.84	18.63
Ukrainian	ukra1253	ukr	Indo-European	Balto-Slavic	50.25	28.65
Belarusian	bela1254	bel	Indo-European	Balto-Slavic	53.23	25.60
Russian	russ1263	rus	Indo-European	Balto-Slavic	57.60	39.80
Lithuanian	lith1251	lit	Indo-European	Balto-Slavic	55.14	23.96
Latvian	latv1249	lav	Indo-European	Balto-Slavic	56.83	24.31
Icelandic	icel1247	isl	Indo-European	Germanic	63.48	-19.02
Norwegian (Bokmål)	norw1258	nor	Indo-European	Germanic	59.92	10.71
Swedish	swed1254	swe	Indo-European	Germanic	59.80	17.39
Danish	dani1285	dan	Indo-European	Germanic	55.60	12.50
German	stan1295	deu	Indo-European	Germanic	52.27	10.50
Dutch	dutc1256	nld	Indo-European	Germanic	52.00	5.00
English	stan1293	eng	Indo-European	Germanic	53.00	-1.00
Irish	iris1253	gle	Indo-European	Celtic	53.22	-7.62
Welsh	wels1247	cym	Indo-European	Celtic	52.00	-4.00
Breton	bret1244	bre	Indo-European	Celtic	48.25	-3.79
Latin	lati1261	lat	Indo-European	Italic	41.90	12.45
French	stan1290	fra	Indo-European	Italic	48.00	2.00
Catalan	stan1289	cat	Indo-European	Italic	41.45	1.57
Spanish	stan1288	spa	Indo-European	Italic	42.25	-3.70
Portuguese	port1283	por	Indo-European	Italic	39.91	-8.10
Italian	ital1282	ita	Indo-European	Italic	43.05	12.65
Romanian	roma1327	ron	Indo-European	Italic	46.39	24.23
Turkish	nucl1301	tur	Turkic	West Oghuz	39.87	32.87
North Azerbaijani	nort2697	azj	Turkic	West Oghuz	40.40	49.60
Kazakh	kaza1248	kaz	Turkic	Kipchak	49.80	73.15
Bashkir	bash1264	bak	Turkic	Kipchak	53.60	56.56
Tatar	tata1255	tat	Turkic	Kipchak	55.00	50.00
Sakha	yaku1245	sah	Turkic	North SiberianTurkic	62.00	130.00
Chuvash	chuv1255	chv	Turkic	Bolgar	55.49	47.16
Southern Uzbek	sout2699	uzs	Turkic	TurkestanTurkic	36.61	60.69
Khalkha Mongolian	halh1238	khk	Mongolic	Eastern Mongolic	48.32	106.29
Russia Buriat	russ1264	bxr	Mongolic	Eastern Mongolic	50.85	105.56
Kalmyk	kalm1243	xal	Mongolic	Eastern Mongolic	46.57	45.32
Evenki	even1259	evn	Tungusic	Northern Tungusic	65.75	105.30
Manchu	manc1252	mnc	Tungusic	Manchu-Jurchen	47.31	126.56
Nanai	nana1257	gld	Tungusic	Central Tungusic	48.43	134.80
Ket	kett1243	ket	Yeniseian	Northern Yeniseian	63.76	87.55
Northern Yukaghir	nort2745	ykg	Yukaghir	Northern Yukaghir	69.00	155.00
Southern Yukaghir	sout2750	yux	Yukaghir	Kolymic	65.75	150.83
